111111111111,0
111111111112,.2000
111111111113,.2000
111111111115,.2000
11111111111a,.0200
11111111111b,.0200
11111111111c,.0200
11111111111d,.0200
11111111111e,.0200
11111111111f,.0200
11111111111g,.0200
11111111111h,.0200
11111111111i,.0200
11111111111j,.0200
11111111111k,.0200
11111111111l,.0200
11111111111m,.0200
11111111111n,.0200
11111111111o,.0200
11111111111p,.0200
11111111111q,.0200
11111111111r,.0200
11111111111s,.0200
11111111111t,.0200
11111111111u,.0200
11111111111v,.0200
11111111111w,.0200
11111111111x,.0200
11111111111y,.0200
11111111111z,.0200
111111111122,1.0000
1111111111aa,.0200
1111111111bb,.0200
1111111111cc,.0200
1111111111dd,.0200
1111111111ee,.0200
1111111111ff,.0200
1111111111gg,.0200
1111111111hh,.0200
1111111111ii,.0200
1111111111jj,.0200
1111111111kk,.0200
1111111111ll,.0200
1111111111mm,.0200
1111111111nn,.0200
1111111111ok,.0200
1111111111oo,.0200
1111111111pp,.0200
1111111111qq,.0200
1111111111rr,.0200
1111111111ss,.0200
1111111111tt,.0200
1111111111uu,.0200
1111111111vv,.0200
1111111111ww,.0200
1111111111xx,.0200
1111111111yy,.0200
1111111111zz,.0200
111111111aaa,.0200
111111111bbb,.0200
111111111ccc,.0200
111111111ddd,.0200
111111111eee,.0200
111111111fff,.0200
111111111ggg,.0200
111111111hhh,.0200
111111111iii,.0200
111111111jjj,.0200
111111111kkk,.0200
111111111lll,.0200
111111111mmm,.0200
111111111nnn,.0200
111111111ooo,.0200
111111111ppp,.0200
111111111qqq,.0200
111111111rrr,.0200
111111111sss,.0200
111111111ttt,.0200
111111111uuu,.0200
111111111vvv,.0200
111111111www,.0200
111111111xxx,.0200
111111111yyy,.0200
111111111zzz,.0200
111111112222,.2000
111111222221,1.0000
111111222222,.0002
111111333333,.0200
111111444444,.0200
111111555555,.2000
111111aaaaaa,.0200
111111bbbbbb,.0200
111111cccccc,.0200
111111dddddd,.0200
111111eeeeee,.0200
111111ffffff,.0200
111111gggggg,.0200
111111hhhhhh,.0200
111111iiiiii,.0200
111111jjjjjj,.0200
